assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
21,7,17, ,1,39,8,Josi,0,14,8474600,-19,29,0.74358,D,1,12,20242025,0,0,0.07079,L,113,Roman Josi,NSH,1505.8717
25,3,18, ,1,36,6,Dahlin,1,24,8480839,1,31,0.86111,D,3,13,20242025,0,0,0.06,L,100,Rasmus Dahlin,BUF,1466.4444
13,1,12,0.44444,0,44,1,Janmark,0,12,8477406,-2,14,0.31818,C,0,0,20242025,0,2,0.03703,L,27,Mattias Janmark,EDM,780.2045
10,8,15,0.46666,2,44,8,Killorn,1,22,8473986,3,18,0.40909,L,0,3,20242025,0,0,0.12307,L,65,Alex Killorn,ANA,1036.1136
3,0,3, ,0,29,0,Desharnais,0,19,8479576,-6,3,0.10344,D,0,0,20242025,0,0,0.0,R,19,Vincent Desharnais,VAN,959.0344
4,3,7,0.0909,0,20,3,Greenway,0,13,8478413,-1,7,0.35,L,0,0,20242025,0,0,0.125,L,24,Jordan Greenway,BUF,955.15
15,7,20,0.46573,0,45,8,Beniers,0,8,8482665,6,23,0.51111,C,1,3,20242025,0,0,0.1,L,80,Matty Beniers,SEA,1073.4666
7,4,10,0.28378,0,37,5,Leason,0,14,8481517,-1,12,0.32432,R,1,2,20242025,0,0,0.0909,R,55,Brett Leason,ANA,831.5675
2,2,4,0.5625,0,20,2,Raty,0,8,8482691,-2,4,0.2,C,0,0,20242025,0,0,0.16666,L,12,Aatu Raty,VAN,570.85
13,5,14,0.25,2,44,7,Gauthier,1,12,8483445,-1,20,0.45454,L,2,6,20242025,0,0,0.07865,L,89,Cutter Gauthier,ANA,872.3409
4,3,5,0.55555,3,29,5,Tomasino,0,2,8481577,-3,9,0.31034,R,2,4,20242025,0,0,0.09615,R,52,Philip Tomasino,NSH,761.1724
1,1,2, ,0,4,1,Nesterenko,0,0,8481754,0,2,0.5,C,0,0,20242025,0,0,0.5,L,2,Nikita Nesterenko,ANA,602.5
10,6,16,0.49863,1,35,6,Gourde,0,36,8476826,-5,16,0.45714,C,0,0,20242025,0,0,0.15789,L,38,Yanni Gourde,SEA,934.0571
13,4,16, ,1,43,4,Kesselring,1,42,8480891,10,17,0.39534,D,0,1,20242025,0,0,0.05194,R,77,Michael Kesselring,UTA,1130.3023
9,1,10, ,0,44,1,Gudas,0,56,8475462,-2,10,0.22727,D,0,0,20242025,0,0,0.02083,R,48,Radko Gudas,ANA,1131.409
28,18,38,0.35294,1,42,20,Hagel,0,34,8479542,15,48,1.14285,L,0,5,20242025,2,5,0.16806,L,119,Brandon Hagel,TBL,1280.0476
5,6,10, ,4,40,7,Samoskevich,0,8,8482713,-2,12,0.3,R,1,2,20242025,0,0,0.14,R,50,Mackie Samoskevich,FLA,672.4
0,1,1,0.75,1,11,1,Bains,0,0,8483395,-4,1,0.0909,L,0,0,20242025,0,0,0.14285,L,7,Arshdeep Bains,VAN,656.1818
1,0,0, ,0,9,0,Nemec,0,4,8483495,-2,1,0.11111,D,0,1,20242025,0,0,0.0,R,9,Simon Nemec,NJD,967.2222
36,6,31,0.557,3,46,12,Crosby,2,19,8471675,-17,48,1.04347,C,6,17,20242025,0,0,0.08955,L,134,Sidney Crosby,PIT,1218.0
6,3,9, ,1,40,3,Hoglander,0,24,8481535,-1,9,0.225,L,0,0,20242025,0,0,0.07692,L,39,Nils Hoglander,VAN,692.475
8,0,8, ,0,40,0,Maatta,0,12,8476874,4,8,0.2,D,0,0,20242025,0,0,0.0,L,36,Olli Maatta,DET,1237.8
3,2,5,0.52602,0,35,2,McCarron,0,41,8477446,-16,5,0.14285,C,0,0,20242025,0,0,0.06666,R,30,Michael McCarron,NSH,779.0857
7,7,14,0.48497,0,44,7,Dickinson,0,12,8477450,-4,14,0.31818,C,0,0,20242025,0,0,0.15555,L,45,Jason Dickinson,CHI,966.9772
6,2,8,0.57192,0,44,2,Beecher,0,8,8481556,-1,8,0.18181,C,0,0,20242025,0,0,0.08,L,25,John Beecher,BOS,689.4772
0,0,0, ,0,2,0,Bradley,0,0,8482507,0,0,0.0,L,0,0,20242025,0,0, ,L,0,Chase Bradley,COL,334.5
13,10,22,0.48387,1,35,17,Voronkov,0,37,8481716,15,30,0.85714,L,7,8,20242025,0,0,0.22666,L,75,Dmitri Voronkov,CBJ,1019.4
7,10,17,0.48979,0,46,10,Kunin,0,33,8479316,-9,17,0.36956,C,0,0,20242025,0,0,0.14925,R,67,Luke Kunin,SJS,908.5
38,8,29, ,1,39,9,Hughes,0,25,8480800,14,47,1.20512,D,1,18,20242025,0,0,0.07826,L,115,Quinn Hughes,VAN,1514.6153
2,1,3, ,1,22,1,Johansson,0,6,8481607,-4,3,0.13636,D,0,0,20242025,0,0,0.05882,L,17,Albert Johansson,DET,825.409
9,0,7,1.0,1,32,1,Kuzmenko,0,12,8483808,-6,10,0.3125,L,1,3,20242025,0,0,0.03225,R,31,Andrei Kuzmenko,CGY,896.8125
3,0,3,0.46153,0,29,0,Ostapchuk,0,13,8482859,-5,3,0.10344,C,0,0,20242025,0,0,0.0,L,14,Zack Ostapchuk,OTT,536.5172
